,Address,ITM_E,ITM_N,Geo Co-ordinates
1403,"Kildoon, Nurney, kildare",672818,705504,POINT (-6.912780601981675 53.09514928192577)
1404,"Maynooth Road, Celbridge, kildare",696055,733296,POINT (-6.557576929012339 53.34116678754172)
1405,"Kilheale Manor, Hartwell Road, Kill, kildare",692654,722760,POINT (-6.61170482228682 53.24711386521356)
1406,"Lousybush, Dunningstown, kilkenny",649025,657230,POINT (-7.275255841225651 52.66402989530071)
1407,"The glebe, Johnstown, kilkenny",674577,686068,POINT (-6.891008825134778 52.92025951107104)
1408,"Boheragaddy, Bennettsbridge, kilkenny",657211,649105,POINT (-7.155660829405937 52.59020846449882)
1409,"Grannagh, Kilmacow, kilkenny",550053,710875,POINT (-8.746615495279594 53.14604488823642)
1410,"Clonin, Mountrath, laois",630664,695238,POINT (-7.543106657493323 53.00697260396611)
1411,"Boherard, Ballacolla, laois",632934,684210,POINT (-7.51040569449205 52.90772714660248)
1412,"St Colmans Church, Raheenduff, Stradbally, laois",640470,719548,POINT (-7.393940644308457 53.22479007509545)
1413,"Rassaun West, Manorhamilton, leitrim",585018,845896,POINT (-8.230511640391461 54.36150560766991)
1414,"Tomdeely North, Askeaton, limerick",532141,651772,POINT (-9.002008662554362 52.61295151940633)
1415,"HOLLYPARK, Kilcornan, Askeaton, limerick",547186,672735,POINT (-8.783245589331933 52.80301791876705)
1416,"Mountfox, Kilmallock, limerick",560044,630069,POINT (-8.587416623472134 52.42065964278613)
1417,"mountcollins village , mountcollins, limerick",516941,619899,POINT (-9.218465732393593 52.32442307542652)
1418,"Caislean Na hAbhann, Kilbane, Castletroy , Limerick , limerick",562516,658234,POINT (-8.554255961339033 52.67397382098835)
1419,"Kilmallock Road, Drombanna, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
1420,"tinnaterriff, cappamore, limerick",575851,650399,POINT (-8.356510762276072 52.60431217176037)
1421,"Knockagowny, Keenagh, longford",612013,768072,POINT (-7.818242275773692 53.66226738060708)
1422,"Dundak Road, Ardee, louth",700747,795264,POINT (-6.467105188656862 53.89697401999561)
1423,"An Cruach , Ballymakenny, louth",700747,795264,POINT (-6.467105188656862 53.89697401999561)
1424,"Cannontown, Termonfeckin, louth",712745,781382,POINT (-6.289726148524386 53.76981458599977)
1425,"Elly, Clogher, Belmullet, mayo",472876,552100,POINT (-9.83943097497486 51.70686607692743)
1426,"Kilmore, Foxford, mayo",512286,543935,POINT (-9.267319283251624 51.64102792238085)
1427,"Bonniconlon, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
1428,"CARROWBRINOGE, CASTLEBAR, mayo",512546,792031,POINT (-9.329780442130589 53.87034134893213)
1429,"James Street, Kiltimagh, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
1430,"Skryne Road, Ratoath, meath",701734,750809,POINT (-6.466679204504405 53.49743566824694)
1431,"Warrenstown, Dunboyne, meath",700679,747889,POINT (-6.483509905314334 53.47140652914914)
1432,"Ballina or Bective Td, Bective, meath",683830,761840,POINT (-6.733490048098107 53.59969933966951)
1433,"Delvin Road, Gormanston, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
1434,"Kellystown, Slane, meath",697981,737809,POINT (-6.527267670871354 53.38135826415394)
1435,"Redwood Extended Care Facility, Stamullen, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
1436,"Batterjohn Big, Dunsany, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
1437,"Kelletts grove, Dunshaughlin, meath",696024,750132,POINT (-6.552915618289965 53.49242638667688)
1438,"Creevelea, Newbliss, monaghan",653784,826932,POINT (-7.175935006912435 54.18850571714176)
1439,"Creevelea, Newbliss, monaghan",653784,826932,POINT (-7.175935006912435 54.18850571714176)
1440,"Ballyhurt, Clonfanlough, Clonfanlough, offaly",624465,722747,POINT (-7.633371150472769 53.25451689537456)
1441,"Gortacur, Mount Bolus, Tullamore , offaly",624465,722747,POINT (-7.633371150472769 53.25451689537456)
1442,"Axis Business Park, Clara Road, Ballyduff, Tullamore, offaly",623298,690970,POINT (-7.65316483825311 52.96898578746917)
1443,"Carrownabrickna, Roscommon, roscommon",585013,766093,POINT (-8.226658846136436 53.64440656344247)
1444,"Cordrumman, Scramogue, roscommon",593434,787035,POINT (-8.099747136383117 53.83277143335062)
1445,"Breeogue, Knocknahur, sligo",569339,818185,POINT (-8.468909243033416 54.11181280669435)
1446,"Fawnagown, Tipperary, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
1447,"Ballyneety, Ardfinnan, tipperary",609804,618338,POINT (-7.856204569365422 52.31658807873342)
1448,"New Inn, Cashel, tipperary",607901,790989,POINT (-7.879870613571798 53.86828407584333)
1449,"Ballyglasheen, Clonmel, tipperary",595669,635680,POINT (-8.06374713420877 52.47253482722488)
1450,"Rathkeevan, Clonmel, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
1451,"ballinree, Cashel, tipperary",607389,702816,POINT (-7.889728510551572 53.07590559354757)
1452,"Curraghateskin, Ballymacarbry, waterford",619830,610423,POINT (-7.709619988358969 52.2451741107906)
1453,"The Burgery, Abbeyside, Dungarvan, waterford",626254,593543,POINT (-7.616857853130313 52.09317905767932)
1454,"Kilclooney, Ballinamult, waterford",633174,610266,POINT (-7.514239015685589 52.24312063561151)
1455,"coolnasmuttaun, cappoquin, waterford",610834,600093,POINT (-7.841682133080929 52.15257197243866)
1456,"Dungarvan Business Park, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
1457,"Main Street, , Tyrrellspass, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
1458,"Ballynacorra, ballymore, westmeath",619583,746686,POINT (-7.705048996630255 53.46985403154245)
1459,"Austin Friar Street , Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
1460,"Monasette , Rahugh, Kilbeggan , westmeath",637438,731879,POINT (-7.437891794858925 53.33582599369743)
1461,"Kilmallock, Enniscorthy, wexford",702725,632400,POINT (-6.489305248848956 52.43342102686465)
1462,"Caim, Enniscorthy, wexford",689569,640394,POINT (-6.680573603629504 52.5075670764047)
1463,"new ross, new ross, wexford",671845,627522,POINT (-6.944378324488067 52.39451224827671)
1464,"Harpoonstown, Bridgetown, wexford",699490,611974,POINT (-6.542909701661265 52.25048056596545)
1465,"Ballybanoge Edermine, Enniscorthy, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
1466,"Knockavocka Ferns, Enniscorthy, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
1467,"Ballycarney, Ferns, wexford",697644,648772,POINT (-6.559197934513151 52.58146023598793)
1468,"Duncannon, New Ross, wexford",672990,608739,POINT (-6.931629895180505 52.22555924051541)
1469,"Hammel's Centra Supermarket, Ballygarran, , Kilmuckridge, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
1470,"Corballis Lower , Rathdrum, wicklow",718581,686523,POINT (-6.236760322192842 52.91644002091981)
1471,"Former Bray Golf Club Lands, , Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
1472,"Riversdale Nook, Upper Green, Kilcoole, wicklow",728117,709242,POINT (-6.086035252563689 53.11832364729582)
1473,"Blainroe Upper, Wicklow, wicklow",731144,690201,POINT (-6.048581494759426 52.94655888497253)
1474,"KILLARNEY ROAD , BRAY, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
1475,"Kilcroney Lane, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
1476,"Parknakyle, Old Leighlin, carlow",664641,666724,POINT (-7.042567234344764 52.74771281617453)
1477,"Raheen, Old Leighlin, carlow",671075,627368,POINT (-6.955722585965397 52.39322874213197)
1478,"Tedeehan Middle, Kilnaleck, cavan",640671,792571,POINT (-7.381434181980476 53.8809665749646)
1479,"Boleynagoagh, Whitegate, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
1480,"Crossbeg, Knockalough, clare",549348,785710,POINT (-8.769222210981821 53.81843992587946)
1481,"Sunnagh, Crusheen, clare",541045,686841,POINT (-8.876859476515335 52.92914705713217)
1482,"BALLYORBAN HOUSE EAST, BALLYORBAN, , MONKSTOWN, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1483,"South Berrings, Berrings, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1484,"Boleynanoutagh, Kildorrery, cork",569469,612861,POINT (-8.44729590361232 52.2665982101089)
1485,"Cappaghglass, Ballydehob, cork",498377,532098,POINT (-9.464789396638579 51.5323124300927)
1486,"Laurel Hill, Monkstown, cork",629108,691530,POINT (-7.566624000094999 52.97373484020329)
1487,"Erne Grove, Church Road., Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
1488,"Fiddane North, Mallow, cork",559394,595703,POINT (-8.592837846510482 52.1117271834504)
1489,"Moneygourney, Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
1490,"Curraghishal, Killeagh, cork",598882,576797,POINT (-8.016261246753512 51.94327152474037)
1491,"BALLYORBAN, CORK, cork",573368,566766,POINT (-8.386581537071764 51.85246747453177)
1492,"Gortnagross, Mallow, cork",550955,599542,POINT (-8.716589026985083 52.14554863859449)
1493,"Church Road, , Ballycotton, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1494,"Haul House, Tracarta, Castlehaven, Castletownshend, cork",516807,529519,POINT (-9.198600959278682 51.51214855923458)
1495,"Store Lane, Fermoy, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1496,"Gortnagappul, Killeagh, cork",600114,579179,POINT (-7.998341086436658 51.96468455505824)
1497,"Roshin South, Maghery, donegal",572566,909297,POINT (-8.428035921209217 54.93062827485594)
1498,"Cloncarney, Trentagh, Letterkenny, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
1499,"Derrora, Churchill, Letterkenny, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
1500,"Knocknamona, Letterkenny, donegal",615800,591763,POINT (-7.769500720144209 52.07757612621761)
1501,"Leaght, Killygordon, donegal",622089,896621,POINT (-7.656327221784752 54.81700616390906)
1502,"Meenlougher, Killygordon, donegal",622554,892993,POINT (-7.649374910224919 54.78438943860756)
1503,"Galway Harbour Enterprise Park, Renmore, Galway, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1504,"Glennamucka, Gurteen, galway",561611,736245,POINT (-8.576915679977482 53.37499275498013)
1505,"Castleturvin, Athenry , galway",548411,724760,POINT (-8.773401499419018 53.27066353030664)
1506,"Graigagowan, Portumna, galway",581922,705333,POINT (-8.269931439699997 53.09827171483226)
1507,"Derryhoyle Beg, Craughwell, galway",554489,719716,POINT (-8.681569406761147 53.2258920621461)
1508,"Mags Boreen, Barna, galway",525246,724992,POINT (-9.120674868453044 53.26999045389894)
1509,"Kiltiernan West, Kilcolgan, galway",543517,714416,POINT (-8.844930375634767 53.17721260037806)
1510,"Lisduff, Tynagh,, Loughrea, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1511,"Caraunmore More, Loughrea, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1512,"College Street, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1513,"Dromin Upper, Listowel, kerry",500249,634442,POINT (-9.467584005544856 52.4523196367231)
1514,"Emlagh West, Dingle, kerry",444551,600545,POINT (-10.27083043498698 52.13487616850933)
1515,"Killeagh, Farranfore, kerry",494356,602861,POINT (-9.544342370778391 52.16745019036892)
1516,"Chapel Lane, Dingle, kerry",445188,601138,POINT (-10.26180276682758 52.14038109505393)
1517,"Gortanahaneboy East, Rathmore, kerry",512114,591616,POINT (-9.28192448736765 52.06950888535791)
1518,"Fair Hill, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1519,"Celbridge House, Maynooth Road, Thornhill, Celbridge, kildare",696283,734556,POINT (-6.553771226840837 53.35244527909279)
1520,"Belan, Moone, kildare",676953,690846,POINT (-6.854550850237076 52.96285842234115)
1521,"Parsonstown, Carbury, kildare",672054,733236,POINT (-6.917922690396526 53.34443945439024)
1522,"Landenstown, Donore, Clane, kildare",683455,723695,POINT (-6.749256455578709 53.25703998848455)
1523,"Boolyglass, Hugginstown, kilkenny",648250,630371,POINT (-7.290614124029045 52.42270534684869)
1524,"Ballykenna, Tullogher, kilkenny",662074,631601,POINT (-7.087166107569085 52.43236576216049)
1525,"Tullanvoolty, Johnstown, kilkenny",628716,669304,POINT (-7.574419854019368 52.77400213350558)
1526,"Skehana,, Castlecomer, kilkenny",652827,673686,POINT (-7.216407990024543 52.81156319246357)
1527,"Mill Street and Main Street, Rathdowney, laois",627375,676659,POINT (-7.593677556710451 52.84017496183743)
1528,"Moneycleare, Ballinakill, laois",645743,679779,POINT (-7.320623494125018 52.86696854536344)
1529,"Clooneen & Skreeny, Manorhamilton, leitrim",588268,840537,POINT (-8.180296956274391 54.31343803856951)
1530,"Roches Road, Rathkeale, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
1531,"Kilgobbin, Adare, limerick",547930,648276,POINT (-8.768344042902166 52.58327457900388)
1532,"Golf Links Road, Castletroy, Limerick, limerick",562516,658234,POINT (-8.554255961339033 52.67397382098835)
1533,"Glenwilliam, Ballingarry, limerick",541109,632349,POINT (-8.866163816860229 52.43944026651626)
1534,"Cross , Ardagh, longford",604598,758743,POINT (-7.930569407642579 53.57854999953062)
1535,"Yellow Gap, Termonfechin, louth",700747,795264,POINT (-6.467105188656862 53.89697401999561)
1536,"Castlelumny, Dunleer, louth",702735,784597,POINT (-6.440436058507975 53.8007642705044)
1537,"Cloonaghboy , Swinford, mayo",540806,800689,POINT (-8.90182042272591 53.95212438456967)
1538,"Moneen Road, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
1539,"Drumneen More, Castlebar, mayo",515718,781362,POINT (-9.278640148943152 53.77501605555577)
1540,"Burris, Manulla, Castlebar, mayo",521940,787810,POINT (-9.185903278452397 53.83391625186996)
1541,"Caulstown, Dunboyne, meath",702765,746158,POINT (-6.452667391736425 53.45545336022479)
1542,"Main Street, Kilmessan, meath",688122,755192,POINT (-6.67053979192675 53.53926887416419)
1543,"Newcastle, Moynalty, meath",670033,788085,POINT (-6.935957398723398 53.83753030471146)
1544,"Killaconnigan, Ballivor, meath",665837,754902,POINT (-7.006740492209305 53.53992785519308)
1545,"Mullaghmore North, Tydavnet, monaghan",661852,838172,POINT (-7.050019766637837 54.28858086351886)
1546,"Rin, Ferbane, offaly",615642,719738,POINT (-7.765737470473599 53.22780823772338)
1547,"Durrow, Tullamore, offaly",633326,599040,POINT (-7.513117000615023 52.14220813729781)
1548,"Curraghadoon, Ballyforan, roscommon",583758,749952,POINT (-8.244799720321643 53.49931798515504)
1549,"Ballintrofaun, Killavil, sligo",564491,810089,POINT (-8.542099338066645 54.03875515016296)
1550,"Clougharden, Grange, Clonmel, tipperary",595826,573749,POINT (-8.060673617925321 51.91585826964976)
1551,"Ardlamon, Monard, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
1552,"Cashel Road, Clonmel, tipperary",599651,652230,POINT (-8.005154260002385 52.62130565142074)
1553,"Garraun, Modeligo, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
1554,"Kilmurry, Dungarvan, waterford",621595,592175,POINT (-7.684935128117884 52.08108385717193)
1555,"Knockboy, Ballinamult, waterford",621118,605623,POINT (-7.691059048961941 52.20198138295108)
1556,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
1557,"Toorbeg, Drumraney, westmeath",617571,744761,POINT (-7.735460083721134 53.45262566924189)
1558,"Church Street, Collinstown, westmeath",650891,766749,POINT (-7.230267471395191 53.64804202758168)
1559,"Newdown, The Downs, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
1560,"Castlemoyle, New Ross, wexford",672373,628263,POINT (-6.936461740036965 52.40110196092785)
1561,"Hayesland, St Helens, wexford",711409,611926,POINT (-6.36843729433034 52.24776631637475)
1562,"Ballycourcey Beg, Enniscorthy, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
1563,"Mulgannon, Wexford, wexford",704583,620020,POINT (-6.465852276276025 52.32183249971047)
1564,"Crosstown, Ardcavan, wexford",704662,623763,POINT (-6.463528426624202 52.35544915923451)
1565,"Red Lane, Sugarloaf, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
1566,"Cooldross Upper, Kilcoole, wicklow",729333,707577,POINT (-6.068550896662148 53.10307499278886)
1567,"Sion Cross, Kernanstown, Bennekerry, carlow",675057,676730,POINT (-6.886025012421638 52.83628203252592)
1568,"Moys, Killaloe, clare",570007,671585,POINT (-8.444714031484216 52.79443325287839)
1569,"Ashgrove , Ballyvolane, cork",554675,600574,POINT (-8.662378408134877 52.15514208246429)
1570,"Loughton Avenue, Maryborough Hill, Douglas, cork",571371,567600,POINT (-8.415637618179607 51.85986544862972)
1571,"Kilpatrick, Ballyclough, cork",548378,600473,POINT (-8.75437915004127 52.153681691549)
1572,"Finisk, Killeagh, cork",602046,574591,POINT (-7.970254161956738 51.92343897354339)
1573,"Kilbeloge, Ballineen, Ballineen, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1574,"Glendower Court, Ballincollig, Cork, cork",558611,570537,POINT (-8.60123075111543 51.8854649552021)
1575,"Murlog, Lifford, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
1576,"Roshine, Killybegs, donegal",571675,878670,POINT (-8.438946039634111 54.65541066333495)
1577,"Ballybuck North Td., Gort, galway",544882,701723,POINT (-8.822333890680751 53.06329204067267)
1578,"Ballyhugh, Gort, galway",544169,701291,POINT (-8.832895401449036 53.05933592760528)
1579,"Old Creamery Mountoven, Camp, Tralee, kerry",496288,609533,POINT (-9.518152177389526 52.22776787518949)
1580,"Primrose Hill, Celbridge, kildare",696055,733296,POINT (-6.557576929012339 53.34116678754172)
1581,"Ashfield Hall, Ballickmoylet, laois",641157,693531,POINT (-7.386986897486118 52.99092850625499)
1582,"Creeves, Shanagolden, limerick",530224,645966,POINT (-9.029087298054712 52.56053236263141)
1583,"Lisnalty, Rosbrien, Rosbrien, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
1584,"Bunree Indusrtrial Estate, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
1585,"Harristown, Kilcloon, meath",687749,710358,POINT (-6.688582935948094 53.13651747816831)
1586,"collooney, collooney, sligo",567436,825823,POINT (-8.498835566682862 54.18032624217143)
1587,"Ballinure, Cashel, tipperary",613830,586438,POINT (-7.798455471999944 52.02976323530412)
1588,"Ballintemple, Dundrum, Cashel, tipperary",597108,643950,POINT (-8.042638660841654 52.54687673364555)
1589,"Carrigeen, Cappoquin, waterford",610533,598110,POINT (-7.846142084587806 52.13475314757366)
1590,"Baltrasna, Moate, westmeath",617292,737813,POINT (-7.740041644155159 53.39019516430636)
1591,"Scurlogesbush, Duncormick, wexford",690334,610650,POINT (-6.67731795165511 52.24016146191472)
1592,"Bridgetown, Bridgetown, wexford",693076,634834,POINT (-6.630480905706168 52.45701959431753)
1593,"Donarea Ave, Sea Road, Kilcoole, wicklow",728117,709242,POINT (-6.086035252563689 53.11832364729582)
1594,"Powerscourt Estate, Enniskerry, wicklow",718462,716886,POINT (-6.227367980933505 53.18921995515976)
1595,"Dunroe, Borris, carlow",675345,653878,POINT (-6.886994332434613 52.63089029223637)
1596,"Kilmeaney, Tinryland, Carlow, carlow",677668,663717,POINT (-6.850367224089521 52.71897764139238)
1597,"Cornakilly, Eighter, Virginia, cavan",656305,784693,POINT (-7.145124971607711 53.80872078755652)
1598,"Rathclooney, Tulla, clare",541669,682801,POINT (-8.866854502267129 52.89290948345703)
1599,"Ard na Deirga, Killaloe, clare",567755,672852,POINT (-8.478228694611879 52.80569052158855)
1600,"Brickhill West, Bunratty Lower, cratloe , clare",548062,660840,POINT (-8.768372531232044 52.69620230631271)
1601,"Glascloon, Doonbeg, clare",492679,665886,POINT (-9.589103073840992 52.733398511324)
1602,"Boleynagoagh, Whitegate, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
1603,"AVONMORE, HETTYFIELD ESTATE, DOUGLAS, CORK, cork",570142,569292,POINT (-8.433626008838784 51.87501032691249)
1604,"Bawnnafinny, Tower, Blarney, cork",560395,577006,POINT (-8.576060830981554 51.94374212104535)
1605,"Long Ridge, Weavers Point, Crosshaven, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1606,"Carhookeal, Mallow, cork",555860,596904,POINT (-8.644585694423588 52.12225136535749)
1607,"Coolkellure, Lehanaghmore, cork",517443,553300,POINT (-9.195041400178468 51.72597635308072)
1608,"Ballineadig, Farran, cork",550150,570742,POINT (-8.724158036688285 51.88661549485479)
1609,"Ballinvrokig, Butlerstown, cork",548802,538447,POINT (-8.738987219875661 51.59620574519145)
1610,"Garryoughtragh North, Mogeely, cork",595191,576246,POINT (-8.069938903651602 51.93829889636007)
1611,"Ballyvorisheen West, Ballyvorisheen, Carrignavar, cork",558128,600250,POINT (-8.611879669317121 52.15250245062568)
1612,"Mallow General Hospital, Kilknockan, Mallow, cork",544521,646550,POINT (-8.818352901366264 52.56742568779593)
1613,"Blackstone Bridge, Kileens, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1614,"FOUNTAINSTOWN, CARRIGALINE, cork",576318,558504,POINT (-8.343196524709816 51.7783324281652)
1615,"Kilbarry, Lissarda, cork",545657,606805,POINT (-8.795152907762073 52.21033168266197)
1616,"Colomane, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1617,"Forest Hill, Carrigaline, cork",575445,558776,POINT (-8.355866905138653 51.78073986560651)
1618,"Barrys Boreen, Duntaheen Road, Duntahane, Fermoy, cork",579981,597785,POINT (-8.292401447825831 52.13156967520001)
1619,"Dromsligo, Mallow, cork",553613,601444,POINT (-8.678016098971055 52.16287356869512)
1620,"Ringaskiddy, Co. Cork, Ringaskiddy, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
1621,"Ballinvuskig West, Mourneabbey, Mallow, cork",557083,592059,POINT (-8.626117054734468 52.07879937555544)
1622,"Kinnoghty, Ardara, donegal",571604,890485,POINT (-8.441197043017883 54.76155986620281)
1623,"Murroe, Dunfanaghy, donegal",598197,935167,POINT (-8.028294920565987 55.16380428208453)
1624,"Tullyvoos, Mountcharles, donegal",582122,874236,POINT (-8.276783297097822 54.6160500987967)
1625,"Chapel Street, Carndonagh, donegal",642961,945677,POINT (-7.324231045125583 55.25636044400932)
1626,"Meentanadea, Ardara, donegal",576596,887754,POINT (-8.363416996372916 54.73728011792633)
1627,"Lennon View, Kilmacrennan, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
1628,"Darney, Bruckless, donegal",575519,876678,POINT (-8.379211382052553 54.63771417845043)
1629,"WOODBURY, CLAREGALWAY, galway",533978,734009,POINT (-8.991667952465894 53.35217221280891)
1630,"Drumaveg, Moycullen, galway",523072,730983,POINT (-9.154710336968881 53.32350994268738)
1631,"Mullaghmore South, Moylough, galway",558774,745234,POINT (-8.620723022544558 53.45555692454407)
1632,"Ballinduff, Corandulla, galway",530241,741636,POINT (-9.049472825144742 53.42022402095662)
1633,"Menlough Eighter, Menlough, galway",561989,742687,POINT (-8.572011308352881 53.43291040559093)
1634,"Turloch, Rosmuc, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1635,"Derrybrien South, Loughrea, galway",557608,700131,POINT (-8.632273186675935 53.0501456241669)
1636,"Bride street, Loughrea, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1637,"Turlough, Rosmuc, galway",545044,780547,POINT (-8.83365670001581 53.77161194116175)
1638,"Gorteennabohogh, Loughrea, galway",537171,736739,POINT (-8.944257815959372 53.37709193607544)
1639,"Cloran, Athenry, galway",547537,725955,POINT (-8.786699966071344 53.28131632873909)
1640,"St Mary's Road, Inch, Killarney, kerry",495864,590982,POINT (-9.518674184791658 52.06099628272169)
1641,"COOLNAGERAGH SCARTAGLIN, SCARTAGLIN, kerry",502916,606090,POINT (-9.420176781855217 52.19803728339283)
1642,"Main Street, Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1643,"Strand Road, Castlegregory, kerry",460675,614467,POINT (-10.04118204747344 52.26423615307156)
1644,"Ballygologue Road, Listowel, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1645,"Inchicorrigane , Killarney, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1646,"Kerry Technology Park, Tralee, kerry",495613,602884,POINT (-9.525981260904734 52.16789593224378)
1647,"Greenfield, Maynooth, kildare",693547,736562,POINT (-6.594260719043108 53.37095841161911)
1648,"Clongowes Wood College, Clane, kildare",685557,727774,POINT (-6.716664868144732 53.2933543247004)
1649,"Donaghstown, Ladychapel, Maynooth, kildare",693661,737030,POINT (-6.592409558812937 53.37514282190008)
1650,"Clonkeeran, Carbury, kildare",671971,736700,POINT (-6.918380975744454 53.37557584262495)
1651,"Firmoun West, Clane, kildare",685557,727774,POINT (-6.716664868144732 53.2933543247004)
1652,"Kilheale Manor, Hartwell Road, Kill, kildare",692654,722760,POINT (-6.61170482228682 53.24711386521356)
1653,"Kilheale Manor, Hartwell Road, Kill, kildare",692654,722760,POINT (-6.61170482228682 53.24711386521356)
1654,"Islands , Urlingford , kilkenny",626707,664815,POINT (-7.604558572544406 52.73375979842502)
1655,"Narrabaun North, , Kilmacow, kilkenny",655034,651555,POINT (-7.187378757905013 52.61245166911024)
1656,"Sraghgaddy, Gowran, kilkenny",663128,656585,POINT (-7.06691920150625 52.65677531359117)
1657,"Swiftsheath, Jenkinstown, kilkenny",646838,666041,POINT (-7.306329504179717 52.74340979109957)
1658,"Harristown, Mullinavat, kilkenny",650824,628199,POINT (-7.253103671027056 52.40295124813763)
1659,"Roskeen, Kilcavan, laois",641407,717163,POINT (-7.380218884881447 53.20328486041161)
1660,"Main Steet, Ballinamore, leitrim",610787,811385,POINT (-7.835270161575465 54.05150983988736)
1661,"Caislean Na HAbhann, Groody Rd, Castletroy , Limerick, limerick",562516,658234,POINT (-8.554255961339033 52.67397382098835)
1662,"Caislean Na HAbhann, Groody Rd, Castletroy , Limerick, limerick",562516,658234,POINT (-8.554255961339033 52.67397382098835)
1663,"University of Limerick, Castletroy, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
1664,"Mountshannon Road, Lisnagry, limerick",544869,641505,POINT (-8.812382661225932 52.52212042091136)
1665,"MORNANE, ASKEATON, limerick",537949,652777,POINT (-8.916448601013307 52.62267764593895)
1666,"KNOCKSENTRY, LISNAGRY, limerick",567691,658389,POINT (-8.477754315311026 52.67569999806645)
1667,"Coolbreedeen, Lisnagry, limerick",569752,657545,POINT (-8.447201824062997 52.66823330972318)
1668,"Clermont Park, Haynestown, louth",700747,795264,POINT (-6.467105188656862 53.89697401999561)
1669,"Tone Street, Ballina, mayo",572840,673176,POINT (-8.40284170679292 52.80888238876684)
1670,"Lower Chapel Street, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
1671,"Cahernabrock, Shrule, mayo",524550,753193,POINT (-9.137846283146756 53.52328039815382)
1672,"GARRANKEEL, Ballina, mayo",524846,821101,POINT (-9.14997466712185 54.13343630924812)
1673,"Westport Rd, Castlebar, mayo",511244,799206,POINT (-9.351651330446847 53.93457765877444)
1674,"Eastham Road, Bettystown, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
1675,"Towlagh, Clonard, meath",688063,768372,POINT (-6.667708611867138 53.65768947099826)
